Index,Sentence,POS Tagged Tokens,Lemmas
0,Picking Christmas gifts for nieces and nephews can be one of the most fun (and sometimes challenging!),Picking[VBG] Christmas[NNP] gifts[NNS] for[IN] nieces[NNS] and[CC] nephews[NNS] can[MD] be[VB] one[CD] of[IN] the[DT] most[RBS] fun[JJ] ([(] and[CC] sometimes[RB] challenging[VBG] ![.] )[)],pick christmas gift for niece and nephew can be one of the most fun ( and sometimes challenge ! )
1,parts of the holiday season.,parts[NNS] of[IN] the[DT] holiday[NN] season[NN] .[.],part of the holiday season .
2,"Here's a comprehensive guide to help you find the perfect presents:
I.",Here[RB] 's[VBZ] a[DT] comprehensive[JJ] guide[NN] to[TO] help[VB] you[PRP] find[VB] the[DT] perfect[JJ] presents[NNS] :[:] I[PRP] .[.],here 's a comprehensive guide to help you find the perfect present : i .
3,"General Strategies for All Ages:
1.",General[NNP] Strategies[NNP] for[IN] All[NNP] Ages[NNP] :[:] 1[CD] .[.],general strategy for all age : 1 .
4,Ask the Parents (Discreetly!,Ask[VB] the[DT] Parents[NNP] ([(] Discreetly[RB] ![.],ask the parent ( discreetly !
5,): This is your most valuable resource.,)[)] :[:] This[DT] is[VBZ] your[PRP$] most[RBS] valuable[JJ] resource[NN] .[.],) : this be your most valuable resource .
6,"""Any ideas for [Niece's Name] this year?",``[``] Any[DT] ideas[NNS] for[IN] [[NNP] Niece[NNP] 's[POS] Name[NN] ][NN] this[DT] year[NN] ?[.],`` any idea for [ niece 's name ] this year ?
7,"She seems to have so much already!""",She[PRP] seems[VBZ] to[TO] have[VB] so[RB] much[JJ] already[RB] ![.] ''[''],she seem to have so much already ! ''
8,"""Are there any specific toys or books [Nephew's Name] is really into right now?""",``[``] Are[VBP] there[RB] any[DT] specific[JJ] toys[NNS] or[CC] books[NNS] [[VBP] Nephew[NNP] 's[POS] Name[NNP] ][NNP] is[VBZ] really[RB] into[IN] right[NN] now[RB] ?[.] ''[''],`` be there any specific toy or book [ nephew 's name ] be really into right now ? ''
9,"""Is there anything they don't need more of?""",``[``] Is[VBZ] there[EX] anything[NN] they[PRP] do[VBP] n't[RB] need[VB] more[JJR] of[IN] ?[.] ''[''],`` be there anything they do n't need more of ? ''
10,"(e.g., more art supplies, more stuffed animals).","([(] e.g.[NN] ,[,] more[JJR] art[JJ] supplies[NNS] ,[,] more[JJR] stuffed[JJ] animals[NNS] )[)] .[.]","( e.g. , more art supply , more stuffed animal ) ."
11,"""Are they saving up for anything big?""",``[``] Are[VBP] they[PRP] saving[VBG] up[RP] for[IN] anything[NN] big[JJ] ?[.] ''[''],`` be they save up for anything big ? ''
12,(This can inform a gift card or contribution).,([(] This[DT] can[MD] inform[VB] a[DT] gift[NN] card[NN] or[CC] contribution[NN] )[)] .[.],( this can inform a gift card or contribution ) .
13,"Pro-Tip: Ask a few months in advance, or offer to pick up something specific they need.","Pro-Tip[NN] :[:] Ask[VB] a[DT] few[JJ] months[NNS] in[IN] advance[NN] ,[,] or[CC] offer[VBP] to[TO] pick[VB] up[RP] something[NN] specific[JJ] they[PRP] need[VBP] .[.]","pro-tip : ask a few month in advance , or offer to pick up something specific they need ."
14,2.,2[CD] .[.],2 .
15,"Observe Their Interests:
What are they always talking about?",Observe[VB] Their[PRP$] Interests[NNS] :[:] What[WP] are[VBP] they[PRP] always[RB] talking[VBG] about[IN] ?[.],observe their interest : what be they always talk about ?
