Index,Sentence_index,Sentence,POS_Tagged_Tokens,Lemmas
1,1,Picking christmas gifts for nieces and nephews can be one of the most fun (and sometimes challenging!) parts of the holiday season.,picking[VBG],pick
2,1,,christmas[NN],christmas
3,1,,gifts[NNS],gift
4,1,,for[IN],for
5,1,,nieces[NNS],niece
6,1,,and[CC],and
7,1,,nephews[NNS],nephew
8,1,,can[MD],can
9,1,,be[VB],be
10,1,,one[CD],one
11,1,,of[IN],of
12,1,,the[DT],the
13,1,,most[RBS],most
14,1,,fun[JJ],fun
15,1,,([(],(
16,1,,and[CC],and
17,1,,sometimes[RB],sometimes
18,1,,challenging[VBG],challenge
19,1,,![.],!
20,1,,)[)],)
21,2,parts of the holiday season.,parts[NNS],part
22,2,,of[IN],of
23,2,,the[DT],the
24,2,,holiday[NN],holiday
25,2,,season[NN],season
26,2,,.[.],.
27,3,Here's a comprehensive guide to help you find the perfect presents:,here[RB],here
28,3,,'s[VBZ],'s
29,3,,a[DT],a
30,3,,comprehensive[JJ],comprehensive
31,3,,guide[NN],guide
32,3,,to[TO],to
33,3,,help[VB],help
34,3,,you[PRP],you
35,3,,find[VB],find
36,3,,the[DT],the
37,3,,perfect[JJ],perfect
38,3,,presents[NNS],present
39,3,,:[:],:
40,4,I.,i[NN],i
41,4,,.[.],.
42,5,General Strategies for All Ages:,general[JJ],general
43,5,,strategies[NNS],strategy
44,5,,for[IN],for
45,5,,all[DT],all
46,5,,ages[NNS],age
47,5,,:[:],:
48,6,1.,1[CD],1
49,6,,.[.],.
50,7,Ask the Parents (Discreetly!,ask[VB],ask
51,7,,the[DT],the
52,7,,parents[NNS],parent
53,7,,([(],(
54,7,,discreetly[RB],discreetly
55,7,,![.],!
56,8,): This is your most valuable resource.,)[)],)
57,8,,:[:],:
58,8,,this[DT],this
59,8,,is[VBZ],be
60,8,,your[PRP$],your
61,8,,most[RBS],most
62,8,,valuable[JJ],valuable
63,8,,resource[NN],resource
64,8,,.[.],.
65,9,"""Any ideas for [Niece's Name] this year?",``[``],``
66,9,,any[DT],any
67,9,,ideas[NNS],idea
68,9,,for[IN],for
69,9,,[[NNP],[
70,9,,niece[NN],niece
71,9,,'s[POS],'s
72,9,,name[NN],name
73,9,,][NN],]
74,9,,this[DT],this
75,9,,year[NN],year
76,9,,?[.],?
77,10,"She seems to have so much already!""",she[PRP],she
78,10,,seems[VBZ],seem
79,10,,to[TO],to
80,10,,have[VB],have
81,10,,so[RB],so
82,10,,much[JJ],much
83,10,,already[RB],already
84,10,,![.],!
85,10,,''[''],''
86,11,"""Are there any specific toys or books [Nephew's Name] is really into right now?""",``[``],``
87,11,,are[VBP],be
88,11,,there[RB],there
89,11,,any[DT],any
90,11,,specific[JJ],specific
91,11,,toys[NNS],toy
92,11,,or[CC],or
93,11,,books[NNS],book
94,11,,[[VBP],[
95,11,,nephew[NN],nephew
96,11,,'s[POS],'s
97,11,,name[NN],name
98,11,,][NNP],]
99,11,,is[VBZ],be
100,11,,really[RB],really
101,11,,into[IN],into
102,11,,right[NN],right
103,11,,now[RB],now
104,11,,?[.],?
105,11,,''[''],''
106,12,"""Is there anything they don't need more of?""",``[``],``
107,12,,is[VBZ],be
108,12,,there[EX],there
109,12,,anything[NN],anything
110,12,,they[PRP],they
111,12,,do[VBP],do
112,12,,n't[RB],n't
113,12,,need[VB],need
114,12,,more[JJR],more
115,12,,of[IN],of
116,12,,?[.],?
117,12,,''[''],''
118,13,"(e.g., more art supplies, more stuffed animals).",([(],(
119,13,,e.g.[FW],e.g.
120,13,,",[,]",","
121,13,,more[JJR],more
122,13,,art[JJ],art
123,13,,supplies[NNS],supply
124,13,,",[,]",","
125,13,,more[JJR],more
126,13,,stuffed[JJ],stuffed
127,13,,animals[NNS],animal
128,13,,)[)],)
129,13,,.[.],.
130,14,"""Are they saving up for anything big?""",``[``],``
131,14,,are[VBP],be
132,14,,they[PRP],they
133,14,,saving[VBG],save
134,14,,up[RP],up
135,14,,for[IN],for
136,14,,anything[NN],anything
137,14,,big[JJ],big
138,14,,?[.],?
139,14,,''[''],''
140,15,(This can inform a gift card or contribution).,([(],(
141,15,,this[DT],this
142,15,,can[MD],can
143,15,,inform[VB],inform
144,15,,a[DT],a
145,15,,gift[NN],gift
146,15,,card[NN],card
147,15,,or[CC],or
148,15,,contribution[NN],contribution
149,15,,)[)],)
150,15,,.[.],.
151,16,"Pro-Tip: Ask a few months in advance, or offer to pick up something specific they need.",pro-tip[NN],pro-tip
152,16,,:[:],:
153,16,,ask[VB],ask
154,16,,a[DT],a
155,16,,few[JJ],few
156,16,,months[NNS],month
157,16,,in[IN],in
158,16,,advance[NN],advance
159,16,,",[,]",","
160,16,,or[CC],or
161,16,,offer[VBP],offer
162,16,,to[TO],to
163,16,,pick[VB],pick
164,16,,up[RP],up
165,16,,something[NN],something
166,16,,specific[JJ],specific
167,16,,they[PRP],they
168,16,,need[VBP],need
169,16,,.[.],.
170,17,2.,2[CD],2
171,17,,.[.],.
172,18,Observe Their Interests:,observe[VB],observe
173,18,,their[PRP$],their
174,18,,interests[NNS],interest
175,18,,:[:],:
176,19,What are they always talking about?,what[WP],what
177,19,,are[VBP],be
178,19,,they[PRP],they
179,19,,always[RB],always
180,19,,talking[VBG],talk
181,19,,about[IN],about
182,19,,?[.],?
183,20,"(Superheroes, specific book series, video games, animals, crafts?)",([(],(
184,20,,superheroes[NNS],superheroes
185,20,,",[,]",","
186,20,,specific[JJ],specific
187,20,,book[NN],book
188,20,,series[NN],series
189,20,,",[,]",","
190,20,,video[JJ],video
191,20,,games[NNS],game
192,20,,",[,]",","
193,20,,animals[NNS],animal
194,20,,",[,]",","
195,20,,crafts[NNS],craft
196,20,,?[.],?
197,20,,)[)],)
198,21,What do they play with when you visit?,what[WP],what
199,21,,do[VBP],do
200,21,,they[PRP],they
201,21,,play[VB],play
202,21,,with[IN],with
203,21,,when[WRB],when
204,21,,you[PRP],you
205,21,,visit[VB],visit
206,21,,?[.],?
207,22,What shows/movies/YouTube channels do they watch?,what[WP],what
208,22,,shows/movies/youtube[NN],shows/movies/youtube
209,22,,channels[NNS],channel
210,22,,do[VBP],do
211,22,,they[PRP],they
212,22,,watch[VB],watch
213,22,,?[.],?
214,23,"Do they have any specific hobbies (sports, music, art, coding)?",do[VBP],do
215,23,,they[PRP],they
216,23,,have[VB],have
217,23,,any[DT],any
218,23,,specific[JJ],specific
219,23,,hobbies[NNS],hobby
220,23,,([(],(
221,23,,sports[NNS],sport
222,23,,",[,]",","
223,23,,music[NN],music
224,23,,",[,]",","
225,23,,art[NN],art
226,23,,",[,]",","
227,23,,coding[VBG],cod
228,23,,)[)],)
229,23,,?[.],?
230,24,3.,3[CD],3
231,24,,.[.],.
232,25,"Set a Budget: Decide what you're comfortable spending per child, or per family.",set[VB],set
233,25,,a[DT],a
234,25,,budget[NN],budget
235,25,,:[:],:
236,25,,decide[VB],decide
237,25,,what[WP],what
238,25,,you[PRP],you
239,25,,'re[VBP],'re
240,25,,comfortable[JJ],comfortable
241,25,,spending[NN],spending
242,25,,per[IN],per
243,25,,child[NN],child
244,25,,",[,]",","
245,25,,or[CC],or
246,25,,per[IN],per
247,25,,family[NN],family
248,25,,.[.],.
249,26,This will help narrow down options.,this[DT],this
250,26,,will[MD],will
251,26,,help[VB],help
252,26,,narrow[VB],narrow
253,26,,down[RP],down
254,26,,options[NNS],option
255,26,,.[.],.
256,27,4.,4[CD],4
257,27,,.[.],.
258,28,Consider Practical vs. Fun:,consider[VB],consider
259,28,,practical[JJ],practical
260,28,,vs.[FW],vs.
261,28,,fun[NN],fun
262,28,,:[:],:
263,29,Practical: Clothes (always appreciated by parents!,practical[JJ],practical
264,29,,:[:],:
265,29,,clothes[NNS],clothes
266,29,,([(],(
267,29,,always[RB],always
268,29,,appreciated[VBN],appreciate
269,29,,by[IN],by
270,29,,parents[NNS],parent
271,29,,![.],!
272,30,"), books, educational toys, supplies for a hobby, bedding/room decor.",)[)],)
273,30,,",[,]",","
274,30,,books[NNS],book
275,30,,",[,]",","
276,30,,educational[JJ],educational
277,30,,toys[NNS],toy
278,30,,",[,]",","
279,30,,supplies[NNS],supply
280,30,,for[IN],for
281,30,,a[DT],a
282,30,,hobby[NN],hobby
283,30,,",[,]",","
284,30,,bedding/room[NN],bedding/room
285,30,,decor[NN],decor
286,30,,.[.],.
287,31,"Fun: Toys, games, experiences, tech gadgets.",fun[NN],fun
288,31,,:[:],:
289,31,,toys[NN],toy
290,31,,",[,]",","
291,31,,games[NNS],game
292,31,,",[,]",","
293,31,,experiences[NNS],experience
294,31,,",[,]",","
295,31,,tech[JJ],tech
296,31,,gadgets[NNS],gadget
297,31,,.[.],.
298,32,"Best Scenario: A gift that is both fun and practical (e.g., a really cool book series, a bike, a stylish but comfortable sweater).",best[JJS],best
299,32,,scenario[NN],scenario
300,32,,:[:],:
301,32,,a[DT],a
302,32,,gift[NN],gift
303,32,,that[WDT],that
304,32,,is[VBZ],be
305,32,,both[DT],both
306,32,,fun[NN],fun
307,32,,and[CC],and
308,32,,practical[JJ],practical
309,32,,([(],(
310,32,,e.g.[JJ],e.g.
311,32,,",[,]",","
312,32,,a[DT],a
313,32,,really[RB],really
314,32,,cool[JJ],cool
315,32,,book[NN],book
316,32,,series[NN],series
317,32,,",[,]",","
318,32,,a[DT],a
319,32,,bike[NN],bike
320,32,,",[,]",","
321,32,,a[DT],a
322,32,,stylish[JJ],stylish
323,32,,but[CC],but
324,32,,comfortable[JJ],comfortable
325,32,,sweater[NN],sweater
326,32,,)[)],)
327,32,,.[.],.
328,33,5.,5[CD],5
329,33,,.[.],.
330,34,Experiences Over Things: Especially for older kids or families trying to reduce clutter.,experiences[NNS],experience
331,34,,over[IN],over
332,34,,things[NNS],thing
333,34,,:[:],:
334,34,,especially[RB],especially
335,34,,for[IN],for
336,34,,older[JJR],old
337,34,,kids[NNS],kid
338,34,,or[CC],or
339,34,,families[NNS],family
340,34,,trying[VBG],try
341,34,,to[TO],to
342,34,,reduce[VB],reduce
343,34,,clutter[NN],clutter
344,34,,.[.],.
345,35,"Tickets to a movie, concert, sporting event, museum, zoo, or theme park.",tickets[NNS],ticket
346,35,,to[TO],to
347,35,,a[DT],a
348,35,,movie[NN],movie
349,35,,",[,]",","
350,35,,concert[NN],concert
351,35,,",[,]",","
352,35,,sporting[VBG],sport
353,35,,event[NN],event
354,35,,",[,]",","
355,35,,museum[NN],museum
356,35,,",[,]",","
357,35,,zoo[NN],zoo
358,35,,",[,]",","
359,35,,or[CC],or
360,35,,theme[NN],theme
361,35,,park[NN],park
362,35,,.[.],.
