*                    : 91|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
.                    : 33|||||||||||||||||||||||||||||||||
the                  : 32||||||||||||||||||||||||||||||||
of                   : 27|||||||||||||||||||||||||||
,                    : 27|||||||||||||||||||||||||||
and                  : 21|||||||||||||||||||||
:                    : 17|||||||||||||||||
a                    : 17|||||||||||||||||
that                 : 16||||||||||||||||
language             : 15|||||||||||||||
to                   : 14||||||||||||||
is                   : 11|||||||||||
(                    : 10||||||||||
)                    : 10||||||||||
Grammar              :  9|||||||||
rules                :  9|||||||||
This                 :  8||||||||
Generative           :  7|||||||
``                   :  7|||||||
''                   :  7|||||||
sentences            :  7|||||||
be                   :  7|||||||
or                   :  7|||||||
an                   :  5|||||
for                  :  5|||||
universal            :  5|||||
The                  :  5|||||
linguistic           :  5|||||
can                  :  5|||||
by                   :  5|||||
Chomsky              :  4||||
in                   :  4||||
innate               :  4||||
are                  :  4||||
explain              :  4||||
knowledge            :  4||||
set                  :  4||||
all                  :  4||||
grammatical          :  4||||
principles           :  4||||
complex              :  4||||
Structure            :  4||||
sentence             :  4||||
's                   :  3|||
It                   :  3|||
human                :  3|||
grammar              :  3|||
infinite             :  3|||
To                   :  3|||
competence           :  3|||
speaker              :  3|||
actual               :  3|||
how                  :  3|||
languages            :  3|||
For                  :  3|||
might                :  3|||
like                 :  3|||
structure            :  3|||
underlying           :  3|||
meaning              :  3|||
[                    :  2||
]                    :  2||
theory               :  2||
--                   :  2||
-                    :  2||
one                  :  2||
most                 :  2||
linguistics          :  2||
proposes             :  2||
capacity             :  2||
allows               :  2||
acquire              :  2||
produce              :  2||
number               :  2||
core                 :  2||
native               :  2||
rather               :  2||
their                :  2||
affected             :  2||
memory               :  2||
humans               :  2||
understand           :  2||
possible             :  2||
Universal            :  2||
UG                   :  2||
with                 :  2||
example              :  2||
have                 :  2||
while                :  2||
children             :  2||
structures           :  2||
rapidly              :  2||
errors               :  2||
this                 :  2||
about                :  2||
Competence           :  2||
Performance          :  2||
word                 :  2||
form                 :  2||
Deep                 :  2||
Surface              :  2||
more                 :  2||
These                :  2||
deep                 :  2||
surface              :  2||
boy                  :  2||
kicked               :  2||
ball                 :  2||
from                 :  2||
different            :  2||
applied              :  2||
allow                :  2||
generate             :  2||
phrases              :  2||
clauses              :  2||
User                 :  1|
what                 :  1|
chompsky             :  1|
?                    :  1|
Model                :  1|
Noam                 :  1|
influential          :  1|
revolutionary        :  1|
theories             :  1|
field                :  1|
brain                :  1|
contains             :  1|
kind                 :  1|
us                   :  1|
Here                 :  1|
tenets               :  1|
key                  :  1|
concepts             :  1|
1                    :  1|
Goal                 :  1|
describe             :  1|
subconscious         :  1|
than                 :  1|
performance          :  1|
use                  :  1|
which                :  1|
fatigue              :  1|
etc.                 :  1|
novel                :  1|
using                :  1|
finite               :  1|
words                :  1|
generative           :  1|
aspect               :  1|
–                    :  1|
generates            :  1|
identify             :  1|
underlie             :  1|
2                    :  1|
perhaps              :  1|
central              :  1|
controversial        :  1|
concept              :  1|
posits               :  1|
born                 :  1|
hardwired            :  1|
predisposition       :  1|
acquisition          :  1|
device               :  1|
consists             :  1|
common               :  1|
parameters           :  1|
switches             :  1|
differently          :  1|
each                 :  1|
principle            :  1|
subjects             :  1|
parameter            :  1|
determine            :  1|
if                   :  1|
subject              :  1|
dropped              :  1|
Spanish              :  1|
requires             :  1|
it                   :  1|
present              :  1|
English              :  1|
helps                :  1|
Poverty              :  1|
Stimulus             :  1|
argument             :  1|
learn                :  1|
accurately           :  1|
even                 :  1|
though               :  1|
input                :  1|
they                 :  1|
receive              :  1|
often                :  1|
incomplete           :  1|
fragmented           :  1|
full                 :  1|
They                 :  1|
could                :  1|
n't                  :  1|
do                   :  1|
without              :  1|
some                 :  1|
pre-existing         :  1|
3                    :  1|
vs                   :  1|
idealized            :  1|
unconscious          :  1|
has                  :  1|
includes             :  1|
meanings             :  1|
acceptable           :  1|
primarily            :  1|
aims                 :  1|
model                :  1|
produced             :  1|
understood           :  1|
real-time            :  1|
non-linguistic       :  1|
factors              :  1|
limitations          :  1|
attention            :  1|
spans                :  1|
speech               :  1|
hesitations          :  1|
4                    :  1|
introduced           :  1|
idea                 :  1|
two                  :  1|
levels               :  1|
representation       :  1|
D-structure          :  1|
represents           :  1|
relations            :  1|
abstract             :  1|
thought              :  1|
closer               :  1|
S-structure          :  1|
spoken               :  1|
written              :  1|
including            :  1|
its                  :  1|
order                :  1|
phonology            :  1|
Transformations      :  1|
convert              :  1|
into                 :  1|
active               :  1|
passive              :  1|
was                  :  1|
derive               :  1|
very                 :  1|
similar              :  1|
transformational     :  1|
yield                :  1|
forms                :  1|
structural           :  1|
variations           :  1|
preserving           :  1|
5                    :  1|
Recursion            :  1|
highlights           :  1|
recursive            :  1|
nature               :  1|
repeatedly           :  1|
infinitely           :  1|
long                 :  1|
instance             :  1|
you                  :  1|
embed                :  1|
within               :  1|
other                :  1|
dog                  :  1|
chased               :  1|
cat                  :  1|
ate                  :  1|
mouse                :  1|
lived                :  1|
house                :  1|
...                  :  1|
In                   :  1|
summary              :  1|
not                  :  1|
merely               :  1|
learned              :  1|
habits               :  1|
but                  :  1|
system               :  1|
governed             :  1|
residing             :  1|
mind                 :  1|
Its                  :  1|
primary              :  1|
goal                 :  1|
formalize            :  1|
these                :  1|
speakers             :  1|
range                :  1|
such                 :  1|
abilities            :  1|
so                   :  1|
efficiently          :  1|
shifted              :  1|
focus                :  1|
mere                 :  1|
description          :  1|
search               :  1|
cognitive            :  1|
mechanisms           :  1|
make                 :  1|
